id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
12295,Białystok,2026-01-06,21,-4.2,2,260,89.2,0.01,1016.2
12600,"Bielsko Biała",2026-01-06,21,-4.9,0,0,74.0,0,1017.9
12235,Chojnice,2026-01-06,21,-8.4,2,260,94.7,0.01,1016.5
12550,Częstochowa,2026-01-06,21,-6.6,1,230,89.0,0,1018.5
12160,Elbląg,2026-01-06,21,-9,4,220,93.9,0.01,1015.4
12155,Gdańsk,2026-01-06,21,-7.3,2,190,88.3,0.01,1015
12300,Gorzów,2026-01-06,21,-5.7,2,220,94.0,0.01,1016.9
12135,Hel,2026-01-06,21,-1.4,4,250,84.9,0.01,1014.4
12500,"Jelenia Góra",2026-01-06,21,-8.9,1,20,86.0,0,1019.5
12435,Kalisz,2026-01-06,21,-6.8,2,210,85.6,0,1017.7
12650,"Kasprowy Wierch",2026-01-06,21,-13.8,7,40,86.9,2.7,
12560,Katowice,2026-01-06,21,-6.2,1,200,85.0,0,1018.5
12185,Kętrzyn,2026-01-06,21,-7.9,2,210,89.6,0.01,1015.8
12570,Kielce,2026-01-06,21,-5.4,0,0,81.8,0,1018
12520,Kłodzko,2026-01-06,21,-9.3,0,0,86.7,0,1019.8
12345,Koło,2026-01-06,21,-10.5,2,210,90.8,0,1016.6
12100,Kołobrzeg,2026-01-06,21,-2.7,3,170,88.0,0.2,1015.4
12105,Koszalin,2026-01-06,21,-4.7,2,180,89.9,0.01,1015.4
12488,Kozienice,2026-01-06,21,-5.3,1,270,79.9,0,1017.5
12566,Kraków,2026-01-06,21,-4.5,1,220,92.0,0,1017.9
12670,Krosno,2026-01-06,21,-4.9,1,310,92.7,1.9,1017
12415,Legnica,2026-01-06,21,-4.3,2,240,82.6,0,1018.3
12690,Lesko,2026-01-06,21,-5.2,2,310,92.6,5,1017.4
12418,Leszno,2026-01-06,21,-2.8,4,240,82.8,0,1017.6
12125,Lębork,2026-01-06,21,-6.5,2,150,91.1,0.01,1014.9
12495,Lublin,2026-01-06,21,-5.6,2,280,89.8,0.01,1017.5
12120,Łeba,2026-01-06,21,-3.6,4,220,87.9,0.01,1014.5
12465,Łódź,2026-01-06,21,-11.6,0,0,90.8,0,1018.5
12280,Mikołajki,2026-01-06,21,-7.6,2,230,89.6,0.01,1016.2
12270,Mława,2026-01-06,21,-13.8,0,0,86.9,0,1017.5
12660,"Nowy Sącz",2026-01-06,21,-4.2,1,10,92.7,0.01,1017.2
12272,Olsztyn,2026-01-06,21,-9.4,2,200,90.2,0,1016.5
12530,Opole,2026-01-06,21,-8.3,0,0,91.0,0,1018.8
12285,Ostrołęka,2026-01-06,21,-10.2,1,170,90.9,0.3,1016
12230,Piła,2026-01-06,21,-6.9,1,200,91.1,0.01,1016.8
12001,Platforma,2026-01-06,21,1.3,5,300,64.6,0,1012.9
12360,Płock,2026-01-06,21,-9.1,0,0,91.7,0,1017.4
12330,Poznań,2026-01-06,21,-4.4,2,280,89.9,0.01,1017.4
12695,Przemyśl,2026-01-06,21,-4,1,99,87.9,3,1016.8
12540,Racibórz,2026-01-06,21,-6.6,3,300,84.9,0,1018.2
12210,Resko,2026-01-06,20,-4.2,2,190,87.9,0,1015.4
12580,Rzeszów,2026-01-06,21,-3.8,3,320,85.9,0.3,1016.6
12585,Sandomierz,2026-01-06,21,-4.4,2,320,97.0,0,1017.5
12385,Siedlce,2026-01-06,21,-6.3,2,280,85.0,0,1017
12310,Słubice,2026-01-06,21,-6.7,2,150,94.7,0,1017.1
12469,Sulejów,2026-01-06,21,-9.3,0,0,90.9,0,1018.3
12195,Suwałki,2026-01-06,21,-5.6,3,240,91.2,0,1015.7
12205,Szczecin,2026-01-06,21,-4.1,3,220,89.9,0.01,1016.1
12215,Szczecinek,2026-01-06,21,-4.9,1,99,91.2,0,1016.3
12510,Śnieżka,2026-01-06,21,-13.9,4,350,87.6,0.2,
12200,Świnoujście,2026-01-06,21,-3.4,2,190,92.0,0.2,1015.2
12575,Tarnów,2026-01-06,21,-4.3,1,350,92.0,0.01,1017.5
12399,Terespol,2026-01-06,21,-4.2,2,290,83.9,1.1,1016.5
12250,Toruń,2026-01-06,21,-11.4,1,240,90.0,0.01,1017.2
12115,Ustka,2026-01-06,21,-6,5,190,93.3,0,1014.5
12375,Warszawa,2026-01-06,21,-8.8,0,0,93.2,0,1017.7
12455,Wieluń,2026-01-06,21,-7.3,2,270,84.9,0,1018.4
12497,Włodawa,2026-01-06,21,-4.4,3,280,85.8,1.3,1016.8
12424,Wrocław,2026-01-06,21,-4.5,1,260,78.8,0,1018.5
12625,Zakopane,2026-01-06,21,-7.7,1,360,89.6,1,
12595,Zamość,2026-01-06,21,-4.5,4,300,85.2,2.2,1017.2
12400,"Zielona Góra",2026-01-06,21,-3.9,2,230,85.9,0,1017.7
